mcp_match_id,mcp_date,mcp_tournament,mcp_round,mcp_surface,mcp_best_of,mcp_players,status,method,candidate_count,candidate_context_ids,context_match_id,context_tournament_date,context_tournament,context_round,context_surface,context_best_of,context_players,context_source_file,date_offset_days,surface_agrees,round_agrees,tournament_agrees,best_of_agrees,review_status,review_notes
19850818-M-Canada_Masters-F-John_Mcenroe-Ivan_Lendl,1985-08-18,Canada Masters,F,Hard,3,John Mcenroe | Ivan Lendl,ambiguous,,2,sackmann:atp:tour:1985-420:300 | sackmann:atp:tour:1985-421:55,,,,,,,,,,,,,,,
20190311-M-Indian_Wells_Masters-R32-Ivo_Karlovic-Prajnesh_Gunneswaran,2019-03-11,Indian Wells Masters,R32,Hard,3,Ivo Karlovic | Prajnesh Gunneswaran,canonical_collision,exact_pair_date_unique,1,sackmann:atp:tour:2019-M006:283,sackmann:atp:tour:2019-M006:283,2019-03-04,Indian Wells Masters,R32,Hard,3,Ivo Karlovic | Prajnesh Gunneswaran,atp/atp_matches_2019.csv,7,true,true,true,true,,
19800112-M-Tour_Finals-SF-Vitas_Gerulaitis-Jimmy_Connors,1980-01-12,Tour Finals,SF,Hard,3,Vitas Gerulaitis | Jimmy Connors,conflicting_context,exact_pair_date_unique,1,sackmann:atp:tour:1979-605:7,sackmann:atp:tour:1979-605:7,1980-01-09,Masters,SF,Carpet,3,Vitas Gerulaitis | Jimmy Connors,atp/atp_matches_1979.csv,3,false,true,false,true,,
19851103-M-Antwerp-F-John_Mcenroe-Ivan_Lendl,1985-11-03,Antwerp,F,Hard,5,John Mcenroe | Ivan Lendl,unresolved_date_window,,0,sackmann:atp:tour:1980-408:29 | sackmann:atp:tour:1980-560:296 | sackmann:atp:tour:1981-520:123 | sackmann:atp:tour:1981-605:4 | sackmann:atp:tour:1981-D052:1 | sackmann:atp:tour:1982-421:61 | sackmann:atp:tour:1982-560:299 | sackmann:atp:tour:1982-605:11 | sackmann:atp:tour:1982-610:7 | sackmann:atp:tour:1983-401:47 | sackmann:atp:tour:1983-424:31 | sackmann:atp:tour:1983-540:299 | sackmann:atp:tour:1983-605:11 | sackmann:atp:tour:1983-610:11 | sackmann:atp:tour:1984-401:300 | sackmann:atp:tour:1984-406:31 | sackmann:atp:tour:1984-415:51 | sackmann:atp:tour:1984-520:127 | sackmann:atp:tour:1984-560:300 | sackmann:atp:tour:1984-605:11 | sackmann:atp:tour:1984-615:4 | sackmann:atp:tour:1985-415:63 | sackmann:atp:tour:1985-420:300 | sackmann:atp:tour:1985-421:55 | sackmann:atp:tour:1985-560:300 | sackmann:atp:tour:1985-615:7 | sackmann:atp:tour:1987-560:121 | sackmann:atp:tour:1988-520:113 | sackmann:atp:tour:1989-421:55 | sackmann:atp:tour:1989-580:124 | sackmann:atp:tour:1989-605:3 | sackmann:atp:tour:1989-610:5 | sackmann:atp:tour:1990-302:53 | sackmann:atp:tour:1990-311:53 | sackmann:atp:tour:1991-441:30 | sackmann:atp:tour:1992-421:50,,,,,,,,,,,,,,,
19930924-M-Davis_Cup_World_Group_SF-RR-Mark_Kevin_Goellner-Stefan_Edberg,1993-09-24,Davis Cup World Group SF,RR,Clay,5,Mark Kevin Goellner | Stefan Edberg,unresolved_pair,,0,,,,,,,,,,,,,,,,
19871204-M-Tour_Finals-RR-Mats_Wilander-Stefan_Edberg,1987-12-04,Tour Finals,RR,Hard,3,Mats Wilander | Stefan Edberg,ambiguous,,2,sackmann:atp:tour:1987-605:10 | sackmann:atp:tour:1987-605:12,,,,,,,,,,,,,,,
20190319-M-Indian_Wells_Masters-R32-Ivo_Karlovic-Prajnesh_Gunneswaran,2019-03-19,Indian Wells Masters,R32,Hard,3,Ivo Karlovic | Prajnesh Gunneswaran,canonical_collision,exact_pair_date_unique,1,sackmann:atp:tour:2019-M006:283,sackmann:atp:tour:2019-M006:283,2019-03-04,Indian Wells Masters,R32,Hard,3,Ivo Karlovic | Prajnesh Gunneswaran,atp/atp_matches_2019.csv,15,true,true,true,true,,
19800113-M-Tour_Finals-F-Vitas_Gerulaitis-Bjorn_Borg,1980-01-13,Tour Finals,F,Hard,3,Vitas Gerulaitis | Bjorn Borg,conflicting_context,exact_pair_date_unique,1,sackmann:atp:tour:1979-605:8,sackmann:atp:tour:1979-605:8,1980-01-09,Masters,F,Carpet,3,Bjorn Borg | Vitas Gerulaitis,atp/atp_matches_1979.csv,4,false,true,false,true,,
19851227-M-Suntory_Cup-F-John_Mcenroe-Ivan_Lendl,1985-12-27,Suntory Cup,F,Hard,3,John Mcenroe | Ivan Lendl,unresolved_date_window,,0,sackmann:atp:tour:1980-408:29 | sackmann:atp:tour:1980-560:296 | sackmann:atp:tour:1981-520:123 | sackmann:atp:tour:1981-605:4 | sackmann:atp:tour:1981-D052:1 | sackmann:atp:tour:1982-421:61 | sackmann:atp:tour:1982-560:299 | sackmann:atp:tour:1982-605:11 | sackmann:atp:tour:1982-610:7 | sackmann:atp:tour:1983-401:47 | sackmann:atp:tour:1983-424:31 | sackmann:atp:tour:1983-540:299 | sackmann:atp:tour:1983-605:11 | sackmann:atp:tour:1983-610:11 | sackmann:atp:tour:1984-401:300 | sackmann:atp:tour:1984-406:31 | sackmann:atp:tour:1984-415:51 | sackmann:atp:tour:1984-520:127 | sackmann:atp:tour:1984-560:300 | sackmann:atp:tour:1984-605:11 | sackmann:atp:tour:1984-615:4 | sackmann:atp:tour:1985-415:63 | sackmann:atp:tour:1985-420:300 | sackmann:atp:tour:1985-421:55 | sackmann:atp:tour:1985-560:300 | sackmann:atp:tour:1985-615:7 | sackmann:atp:tour:1987-560:121 | sackmann:atp:tour:1988-520:113 | sackmann:atp:tour:1989-421:55 | sackmann:atp:tour:1989-580:124 | sackmann:atp:tour:1989-605:3 | sackmann:atp:tour:1989-610:5 | sackmann:atp:tour:1990-302:53 | sackmann:atp:tour:1990-311:53 | sackmann:atp:tour:1991-441:30 | sackmann:atp:tour:1992-421:50,,,,,,,,,,,,,,,
20011214-M-St_Anton_EXH-RR-Roger_Federer-Markus_Hipfl,2001-12-14,St Anton EXH,RR,Hard,3,Roger Federer | Markus Hipfl,unresolved_pair,,0,,,,,,,,,,,,,,,,
19881216-M-Davis_Cup_World_Group_F-RR-Stefan_Edberg-Boris_Becker,1988-12-16,Davis Cup World Group F,RR,Clay,5,Stefan Edberg | Boris Becker,ambiguous,,2,sackmann:atp:tour:1988-605:1 | sackmann:atp:tour:1988-D032:2,,,,,,,,,,,,,,,
20240124-M-Ottignies-Louvain-la-Neuve_CH-R32-Adrian_Andreev-Benjamin_Bonzi,2024-01-24,Ottignies-Louvain-la-Neuve CH,R32,Hard,3,Adrian Andreev | Benjamin Bonzi,canonical_collision,exact_pair_date_unique,1,sackmann:atp:qual_chall:2024-2837:270,sackmann:atp:qual_chall:2024-2837:270,2024-01-22,Ottignies-Louvain-la-Neuve CH,R32,Hard,3,Adrian Andreev | Benjamin Bonzi,atp/atp_matches_qual_chall_2024.csv,2,true,true,true,true,,
19801205-M-Davis_Cup_World_Group_F-RR-Tomas_Smid-Adriano_Panatta,1980-12-05,Davis Cup World Group F,RR,Hard,5,Tomas Smid | Adriano Panatta,conflicting_context,exact_pair_date_unique,1,sackmann:atp:tour:1980-D023:1,sackmann:atp:tour:1980-D023:1,1980-12-05,Davis Cup WG F: TCH vs ITA,RR,Carpet,5,Tomas Smid | Adriano Panatta,atp/atp_matches_1980.csv,0,false,true,false,true,,
19880524-M-Monte_Carlo_Masters-F-Martin_Jaite-Ivan_Lendl,1988-05-24,Monte Carlo Masters,F,Clay,5,Martin Jaite | Ivan Lendl,unresolved_date_window,,0,sackmann:atp:tour:1985-419:49 | sackmann:atp:tour:1985-520:124 | sackmann:atp:tour:1988-410:47,,,,,,,,,,,,,,,
20120106-M-Doha_EXH-RR-Jo_Wilfried_Tsonga-Stefan_Edberg,2012-01-06,Doha EXH,RR,Hard,3,Jo Wilfried Tsonga | Stefan Edberg,unresolved_pair,,0,,,,,,,,,,,,,,,,
